label,Title,Active Time,Sign Up Time,URL
【心理系微學分學習活動】,Network properties and cognitive functions of the human thalamus.,2024/03/15 13:00 ~ 2024/03/15 14:00 (周五),2024/02/19 21:00 ~ 2024/03/12 23:59,https://events.lib.ccu.edu.tw//event/detail/list/1233/
【中正講座】,陳士惠教授：《給女兒的話》是你？是我？都是,2024/03/26 16:00 ~ 2024/03/26 18:00 (周二),2024/02/27 11:14 ~ 2024/03/22 00:00,https://events.lib.ccu.edu.tw//event/detail/list/1266/
【心理系微學分學習活動】,Selective neuronal vulnerability to depression and tauopathies,2024/03/15 14:30 ~ 2024/03/15 15:30 (周五),2024/02/20 12:18 ~ 2024/03/12 23:59,https://events.lib.ccu.edu.tw//event/detail/list/1236/
【無分類】,「有心人事」親密關係探索團體,2024/03/29 18:10 ~ 2024/05/24 20:10 (周五),2024/02/22 09:10 ~ 2024/03/11 23:59,https://events.lib.ccu.edu.tw//event/detail/list/1256/
【無分類】,113年微學分管理系統開課單位操作教育訓練,2024/03/11 14:00 ~ 2024/03/11 16:00 (周一),2024/02/26 09:23 ~ 2024/03/08 12:00,https://events.lib.ccu.edu.tw//event/detail/list/1261/
【中正講座】,張登及教授：恐懼的總和？地緣政治與當前美中台三邊關係,2024/03/19 16:00 ~ 2024/03/19 18:00 (周二),2024/02/27 11:11 ~ 2024/03/15 00:00,https://events.lib.ccu.edu.tw//event/detail/list/1265/
【中正講座】,于國華教授：藝術產業的困頓與改革,2024/04/02 16:00 ~ 2024/04/02 18:00 (周二),2024/02/27 11:14 ~ 2024/03/29 00:00,https://events.lib.ccu.edu.tw//event/detail/list/1267/
【中正講座】,呂紹睿主任：選擇一條人跡罕至的路 – 在新膝望中看到新希望,2024/05/28 16:00 ~ 2024/05/28 18:00 (周二),2024/02/27 11:14 ~ 2024/05/24 00:00,https://events.lib.ccu.edu.tw//event/detail/list/1269/
【無分類】,《藝起打造你的職涯地圖》生涯探索團體,2024/03/21 18:10 ~ 2024/05/23 20:10 (周四),2024/02/22 09:10 ~ 2024/03/08 23:59,https://events.lib.ccu.edu.tw//event/detail/list/1260/
【中正講座】,吳東都院長：行政法院為社會做了什麼,2024/04/23 16:00 ~ 2024/04/23 18:00 (周二),2024/02/27 11:14 ~ 2024/04/19 00:00,https://events.lib.ccu.edu.tw//event/detail/list/1268/
【中正講座】,洪文玲 教授：*未定*,2024/06/04 16:00 ~ 2024/06/04 18:00 (周二),2024/02/27 11:14 ~ 2024/05/31 00:00,https://events.lib.ccu.edu.tw//event/detail/list/1270/
【心理系微學分學習活動】,Mind on pain: the psychology of pain,2024/03/22 13:30 ~ 2024/03/22 15:00 (周五),2024/02/20 12:18 ~ 2024/03/19 23:59,https://events.lib.ccu.edu.tw//event/detail/list/1243/
【無分類】,3/22(五) 關於我轉生成為插畫家這件事-繪本講座暨導覽,2024/03/22 14:00 ~ 2024/03/22 16:00 (周五),2024/02/21 18:42 ~ 2024/03/21 23:59,https://events.lib.ccu.edu.tw//event/detail/list/1253/
【超派生涯，測你有多派】,生涯與學習團體測驗-生涯興趣量表,2024/03/25 12:30 ~ 2024/03/25 13:30 (周一),2024/02/19 11:36 ~ 2024/03/21 11:36,https://events.lib.ccu.edu.tw//event/detail/list/1238/
